iter	Passed	Remaining
409	5916	8514
410	5930	8498
411	5943	8482
412	5956	8466
413	5970	8451
414	5982	8433
415	5997	8419
416	6013	8407
417	6029	8394
418	6044	8381
419	6058	8365
420	6072	8351
421	6087	8337
422	6102	8324
423	6117	8310
424	6132	8297
425	6146	8282
426	6161	8267
427	6177	8255
428	6191	8240
429	6205	8225
430	6219	8210
431	6232	8194
432	6245	8178
433	6258	8162
434	6271	8145
435	6286	8131
436	6300	8117
437	6314	8101
438	6328	8086
439	6341	8071
440	6357	8058
441	6371	8043
442	6385	8028
443	6398	8012
444	6411	7996
445	6424	7980
446	6437	7964
447	6451	7948
448	6463	7932
449	6477	7916
450	6491	7901
451	6503	7884
452	6517	7870
453	6531	7855
454	6546	7841
455	6560	7826
456	6574	7811
457	6588	7796
458	6600	7780
459	6616	7766
460	6629	7750
461	6643	7735
462	6658	7722
463	6672	7708
464	6686	7693
465	6698	7676
466	6713	7662
467	6726	7646
468	6739	7630
469	6753	7615
470	6766	7599
471	6780	7584
472	6794	7569
473	6808	7555
474	6824	7542
475	6838	7528
476	6853	7514
477	6868	7501
478	6883	7486
479	6899	7474
480	6915	7462
481	6931	7448
482	6946	7435
483	6960	7421
484	6975	7407
485	6990	7393
486	7005	7379
487	7019	7364
488	7034	7350
489	7047	7335
490	7061	7320
491	7074	7304
492	7088	7289
493	7101	7274
494	7115	7258
495	7127	7242
496	7141	7227
497	7155	7212
498	7169	7197
499	7182	7182
500	7196	7167
501	7210	7153
502	7224	7138
503	7237	7122
504	7250	7107
505	7264	7092
506	7278	7077
507	7291	7062
508	7305	7047
509	7320	7033
510	7334	7018
511	7348	7004
512	7361	6988
513	7375	6973
514	7388	6958
515	7401	6942
516	7413	6925
517	7425	6909
518	7438	6894
519	7451	6878
520	7465	6863
521	7479	6849
522	7494	6835
523	7509	6821
524	7523	6807
525	7540	6795
526	7556	6781
527	7574	6771
528	7589	6756
529	7602	6741
530	7616	6726
531	7629	6711
532	7643	6697
533	7658	6682
534	7672	6668
535	7685	6653
536	7699	6638
537	7712	6622
538	7725	6607
539	7739	6592
540	7753	6578
541	7766	6563
542	7780	6548
543	7795	6534
544	7809	6520
545	7823	6504
546	7836	6489
547	7850	6475
548	7863	6459
549	7876	6444
550	7888	6428
551	7902	6413
552	7915	6398
553	7930	6384
554	7943	6369
555	7956	6353
556	7969	6338
557	7985	6325
558	7999	6311
559	8012	6295
560	8026	6281
561	8040	6266
562	8053	6251
563	8066	6236
564	8079	6220
565	8091	6204
566	8104	6189
567	8116	6173
568	8130	6158
569	8144	6144
570	8157	6128
571	8170	6113
572	8182	6097
573	8195	6082
574	8208	6067
575	8221	6051
576	8233	6035
577	8245	6019
578	8258	6005
579	8271	5990
580	8284	5974
581	8296	5958
582	8308	5943
583	8323	5929
584	8336	5913
585	8349	5898
586	8361	5883
587	8374	5867
588	8387	5852
589	8400	5837
590	8414	5823
591	8428	5809
592	8441	5793
593	8454	5778
594	8469	5764
595	8481	5749
596	8494	5734
597	8506	5718
598	8519	5703
599	8533	5688
600	8546	5674
601	8559	5658
602	8573	5644
603	8586	5629
604	8600	5615
605	8615	5601
606	8627	5586
607	8642	5571
608	8655	5557
609	8669	5542
610	8683	5528
611	8696	5513
612	8710	5498
613	8724	5484
614	8737	5469
615	8750	5455
616	8764	5440
617	8777	5425
618	8789	5410
619	8802	5395
620	8814	5379
621	8828	5364
622	8841	5350
623	8855	5335
624	8869	5321
625	8882	5306
626	8894	5291
627	8908	5277
628	8921	5261
629	8942	5251
630	8961	5240
631	8977	5227
632	8995	5215
633	9010	5201
634	9025	5187
635	9039	5173
636	9054	5159
637	9071	5147
638	9087	5134
639	9103	5120
640	9119	5107
641	9134	5093
642	9151	5080
643	9168	5068
644	9182	5054
645	9198	5040
646	9212	5026
647	9225	5011
648	9239	4996
649	9254	4983
650	9268	4968
651	9281	4953
652	9295	4939
653	9308	4924
654	9320	4909
655	9334	4895
656	9347	4880
657	9360	4865
658	9374	4851
659	9387	4836
660	9401	4821
661	9415	4807
662	9428	4792
663	9443	4778
664	9458	4764
665	9472	4750
666	9486	4735
667	9498	4720
668	9511	4706
669	9525	4691
670	9537	4676
671	9549	4660
672	9563	4646
673	9576	4632
674	9589	4617
675	9603	4602
676	9616	4588
677	9630	4573
678	9643	4558
679	9655	4543
680	9669	4529
681	9683	4515
682	9698	4501
683	9710	4486
684	9723	4471
685	9737	4457
686	9751	4442
687	9765	4428
688	9778	4413
689	9791	4398
690	9805	4384
691	9818	4370
692	9832	4355
693	9845	4341
694	9858	4326
695	9872	4312
696	9887	4298
697	9900	4283
